Part Number,Brand Label,Category (PCDB),Short Description,Title,Retail,MAP,Primary
16060,Air Lift,Suspension,Compressor System,Air Lift 16060 Black electric 12V Standard Air Compressor,104.17,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/16060_v1_20120101.jpg
16130,Air Lift,Suspension,Electric Air Comp.,Air Lift 16130 12 VOLT COMPRESSOR,208.57,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/16130_v1_20120101.jpg
16190,Air Lift,Suspension,Viair Air Compressor,Air Lift 16190 12 VOLT COMPRESSOR,348.38,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/16190_v1_20111211.jpg
22007,Air Lift,Suspension,Replacement Airline,Air Lift 22007 Replacement Airline Kit,40.28,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/22007_v1_20110128.jpg
22022,Air Lift,Suspension,Susp Air Comp Line,Air Lift 22022 REPLACEMENT HOSE KIT,52.88,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/22022_v1_20110129.jpg
22030,Air Lift,Suspension,Susp Air Comp Line,Air Lift 22030 REPLACEMENT HOSE KIT,44.06,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/22030_v1_20120101.jpg
25301,Air Lift,Suspension,Susp Air Comp Line,Air Lift 25301 REPLACEMENT HOSE KIT,140.90,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/25301_v1.jpg
25490,Air Lift,Suspension,On-board Air Kit,Air Lift 25490 SmartAir II (Single Path),751.92,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/25490_v1_20140101.jpg
25491,Air Lift,Suspension,On-board Air Kit,Air Lift 25491 SmartAir II (Dual Path),1497.96,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/25491_v1_20160101.jpg
25572,Air Lift,Suspension,On-board Air Kit,Air Lift 25572 QuickShot,1124.44,,https://1ddf4b1b856a39e33863-d785dc0e3b62b5e0ef07f55db00b0659.ssl.cf2.rackcdn.com/Air Lift Company/25572_v1_20150101.jpg
